ranking_number,movie_title, year, time_stamp
56,Harry Potter and the Sorcerer's Stone,2001,08.01.2023
57,Aftersun,2022,08.01.2023
58,All Quiet on the Western Front,2022,08.01.2023
59,The Godfather,1972,08.01.2023
60,Klaus,2019,08.01.2023
61,Barbie,2023,08.01.2023
62,The Santa Clause,1994,08.01.2023
63,Tár,2022,08.01.2023
64,The Addams Family,1991,08.01.2023
65,The Grinch,2018,08.01.2023
66,Cirkus,2022,08.01.2023
67,The Pale Blue Eye,2022,08.01.2023
68,Where the Crawdads Sing,2022,08.01.2023
69,Emancipation,2022,08.01.2023
70,Ticket to Paradise,2022,08.01.2023
71,Miracle on 34th Street,1994,08.01.2023
72,Death on the Nile,2022,08.01.2023
73,Elvis,2022,08.01.2023
74,The Gray Man,2022,08.01.2023
75,Zoolander,2001,08.01.2023
76,Encanto,2021,08.01.2023
77,Emily the Criminal,2022,08.01.2023
78,Lady Chatterley's Lover,2022,08.01.2023
79,Fantastic Beasts: The Secrets of Dumbledore,2022,08.01.2023
80,Women Talking,2022,08.01.2023
81,After Ever Happy,2022,08.01.2023
82,See How They Run,2022,08.01.2023
83,1917,2019,08.01.2023
84,The Fallout,2021,08.01.2023
85,The Woman King,2022,08.01.2023
86,7 Women and a Murder,2021,08.01.2023
87,Pearl,2022,08.01.2023
88,Falling for Christmas,2022,08.01.2023
89,Prisoners,2013,08.01.2023
90,The Muppet Christmas Carol,1992,08.01.2023
91,Avatar 3,2024,08.01.2023
92,The Shawshank Redemption,1994,08.01.2023
93,About Fate,2022,08.01.2023
94,Thor: Love and Thunder,2022,08.01.2023
95,The Lord of the Rings: The Fellowship of the Ring,2001,08.01.2023
96,The Goonies,1985,08.01.2023
97,No Time to Die,2021,08.01.2023
98,Interstellar,2014,08.01.2023
99,Dune,2021,08.01.2023
100,Last Christmas,2019,08.01.2023
1,Avatar: The Way of Water,2022,09.01.2023
2,Glass Onion,2022,09.01.2023
3,The Menu,2022,09.01.2023
4,White Noise,2022,09.01.2023
5,The Pale Blue Eye,2022,09.01.2023
6,Knives Out,2019,09.01.2023
7,Babylon,2022,09.01.2023
8,Evil Dead Rise,2023,09.01.2023
9,M3GAN,2022,09.01.2023
10,The Banshees of Inisherin,2022,09.01.2023
11,Avatar,2009,09.01.2023
12,A Man Called Otto,2022,09.01.2023
